순위,곡명,아티스트,앨범,장르,남성비율,10,20,30,40,50,60,가수분류,곡분류
1,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇,록/메탈,0.447,0.12,0.42,0.23,0.14,0.04,0.05,솔로(여성),"이별,그리움,섭섭"
2,아로하,조정석,슬기로운 의사생활 OST Part 3,"발라드, 국내드라마",0.492,0.1,0.39,0.26,0.16,0.05,0.04,솔로(남성),"사랑,행복,기쁨"
3,사랑하게 될 줄 알았어,전미도,슬기로운 의사생활 OST Part 11,"발라드, 국내드라마",0.447,0.09,0.39,0.29,0.15,0.04,0.04,솔로(여성),"사랑, 행복, 아련함"
4,MORE & MORE,TWICE (트와이스),MORE & MORE,댄스,0.42,0.12,0.42,0.24,0.13,0.04,0.05,아이돌(여성),"댄스,유혹,섹시"
5,깡 Official Remix,식케이 (Sik-K),깡 Official Remix,랩/힙합,0.491,0.09,0.45,0.26,0.12,0.05,0.03,솔로(남성),"스웩,댄스,자아"
6,살짝 설렜어 (Nonstop),오마이걸,NONSTOP,댄스,0.441,0.12,0.4,0.25,0.15,0.05,0.03,아이돌(여성),"댄스,사랑,설렘"
7,나비와 고양이 (feat.백현 (BAEKHYUN)),볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비,"인디음악, 포크/블루스",0.481,0.1,0.42,0.26,0.14,0.05,0.03,솔로(여성),"사랑,아련,행복"
8,Candy,백현 (BAEKHYUN),Delight - The 2nd Mini Album,R&B;/Soul,0.356,0.14,0.35,0.26,0.17,0.05,0.03,솔로(남성),"설렘,유혹,섹시"
9,ON,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.421,0.11,0.3,0.3,0.2,0.05,0.04,아이돌(남성),"댄스,자아,방황"
10,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2,"발라드, 국내드라마",0.444,0.09,0.36,0.28,0.17,0.05,0.05,솔로(여성),"사랑,그리움,위로"
11,"너에게 난, 나에게 넌",미도와 파라솔,슬기로운 의사생활 OST Part 12,"발라드, 국내드라마",0.431,0.1,0.36,0.27,0.18,0.05,0.04,밴드(혼성),"추억,아련함,그리움"
12,화려하지 않은 고백,규현 (KYUHYUN),슬기로운 의사생활 OST Part 4,"발라드, 국내드라마",0.451,0.08,0.35,0.3,0.18,0.05,0.04,솔로(남성),"사랑,설렘,행복"
13,Dolphin,오마이걸,NONSTOP,댄스,0.422,0.13,0.4,0.23,0.15,0.05,0.04,아이돌(여성),"댄스,설렘,발랄"
14,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,댄스,0.447,0.09,0.31,0.31,0.19,0.05,0.05,아이돌(남성),"댄스,신남,사랑"
15,시작,가호 (Gaho),이태원 클라쓰 OST Part.2,"록/메탈, 국내드라마",0.541,0.08,0.4,0.27,0.16,0.05,0.04,솔로(남성),"청춘,자아,위로"
16,Dance Monkey,Tones And I,The Kids Are Coming,POP,0.507,0.09,0.41,0.26,0.14,0.05,0.05,솔로(여성),"사랑,댄스,우울"
17,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA,발라드,0.582,0.09,0.39,0.28,0.15,0.05,0.04,밴드(남성),"겨울, 그리움, 추억"
18,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,"록/메탈, 국내드라마",0.52,0.06,0.38,0.31,0.15,0.05,0.05,솔로(남성),"사랑,그리움,섭섭"
19,아무노래,지코 (ZICO),아무노래,랩/힙합,0.514,0.06,0.38,0.32,0.15,0.05,0.04,솔로(남성),"유쾌,댄스,방황"
20,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1,"발라드, 국내드라마",0.443,0.11,0.32,0.28,0.19,0.06,0.04,솔로(남성),"사랑,아련함,그리움"
21,Memories,Maroon 5,Memories,POP,0.485,0.12,0.38,0.24,0.16,0.05,0.05,밴드(남성),"기쁨,아련함,추억"
22,Blueming,아이유,Love poem,록/메탈,0.483,0.09,0.41,0.26,0.15,0.05,0.04,솔로(여성),"발랄,설렘,행복"
23,어떻게 지내 (Prod. By VAN.C),오반,어떻게 지내,"랩/힙합, 인디음악",0.507,0.14,0.42,0.19,0.15,0.06,0.04,솔로(남성),"그리움,아련함,슬픔"
24,덤더럼(Dumhdurum),Apink (에이핑크),LOOK,댄스,0.491,0.07,0.4,0.3,0.14,0.05,0.04,아이돌(여성),"댄스,이별,섭섭"
25,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,성인가요,0.431,0.06,0.3,0.29,0.2,0.1,0.05,솔로(남성),"사랑,아련함,위로"
26,그대 고운 내사랑,어반자카파,슬기로운 의사생활 OST Part 5,"발라드, 국내드라마",0.453,0.06,0.34,0.32,0.18,0.05,0.05,그룹(혼성),"사랑,슬픔,위로,그리움"
27,METEOR,창모 (CHANGMO),Boyhood,랩/힙합,0.566,0.1,0.44,0.22,0.14,0.05,0.05,솔로(남성),"시원함,추억,행복,자아"
28,Don't Start Now,Dua Lipa,Future Nostalgia,POP,0.479,0.09,0.41,0.26,0.15,0.05,0.04,솔로(여성),"이별,시원함,자아,유쾌"
29,00:00 (Zero O’Clock),방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.399,0.12,0.26,0.3,0.22,0.06,0.06,아이돌(남성),"댄스,위로,슬픔,자아 "
30,Bungee,백현 (BAEKHYUN),Delight - The 2nd Mini Album,R&B;/Soul,0.353,0.15,0.32,0.25,0.18,0.06,0.04,솔로(남성),"사랑,힘듦,발랄,행복"
31,Black Swan,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.41,0.11,0.26,0.3,0.22,0.06,0.05,아이돌(남성),"자아,힘듦,방황,위로"
32,내 눈물 모아,휘인 (Whee In),슬기로운 의사생활 OST Part 8,"발라드, 국내드라마",0.453,0.08,0.35,0.31,0.18,0.05,0.04,솔로(여성),"이별,슬픔,그리움,힘듦"
33,Love Again,백현 (BAEKHYUN),Delight - The 2nd Mini Album,R&B;/Soul,0.348,0.15,0.31,0.25,0.19,0.06,0.04,솔로(남성),"사랑,이별,섭섭함,찌질함"
34,친구,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.391,0.13,0.24,0.29,0.23,0.06,0.05,아이돌(남성),"사랑,추억,행복,축하"
35,작사가,헤이즈 (Heize),Lyricist,R&B;/Soul,0.443,0.1,0.46,0.24,0.12,0.05,0.03,솔로(여성),"사랑,슬픔,찌질함,우울"
36,2002,Anne-Marie,Speak Your Mind (Deluxe),POP,0.495,0.08,0.4,0.27,0.16,0.06,0.03,솔로(여성),"추억,사랑,신남,청춘"
37,마음을 드려요,아이유,사랑의 불시착 OST Part 11,"발라드, 국내드라마",0.495,0.08,0.37,0.28,0.17,0.06,0.04,솔로(여성),"사랑,슬픔,아련함,우울"
38,Filter,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.392,0.12,0.24,0.3,0.24,0.06,0.04,아이돌(남성),"사랑,기쁨,발랄,찌질함"
39,Moon,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.39,0.13,0.24,0.29,0.24,0.06,0.04,아이돌(남성),"사랑,행복,발랄,위로"
40,Poppin',백현 (BAEKHYUN),Delight - The 2nd Mini Album,R&B;/Soul,0.353,0.15,0.3,0.25,0.19,0.07,0.04,솔로(남성),"사랑,섹시,위로,기쁨"
41,너에게 가는 이 길 위에서 (너.이.길),백현 (BAEKHYUN),하이에나 OST Part.2,"발라드, 국내드라마",0.428,0.12,0.3,0.28,0.2,0.07,0.03,솔로(남성),"사랑,이별,슬픔,그리움"
42,Underwater,백현 (BAEKHYUN),Delight - The 2nd Mini Album,R&B;/Soul,0.353,0.15,0.29,0.25,0.19,0.06,0.06,솔로(남성),"사랑,이별,슬픔,힘듦"
43,그때 그 아인,김필,이태원 클라쓰 OST Part.6,"발라드, 국내드라마",0.551,0.08,0.37,0.27,0.18,0.06,0.04,솔로(남성),"슬픔,자아,방황,힘듦"
44,어떻게 지내 (답가),런치,어떻게 지내 (답가),"랩/힙합, 인디음악",0.47,0.18,0.43,0.15,0.15,0.05,0.04,솔로(여성),"사랑,이별,힘듦,방황"
45,시차,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.391,0.12,0.23,0.3,0.24,0.06,0.05,아이돌(남성),"자아,방황,신남,청춘"
46,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3,"록/메탈, 국내드라마",0.569,0.08,0.39,0.26,0.17,0.06,0.04,밴드(남성),"자아,위로,힘듦,시원함"
47,We are Bulletproof : the Eternal,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.384,0.13,0.23,0.29,0.25,0.06,0.04,아이돌(남성),"자아,위로,힘듦,추억"
48,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale,댄스,0.481,0.1,0.4,0.25,0.15,0.06,0.04,아이돌(남성),"사랑,발랄,기쁨,댄스"
49,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,발라드,0.566,0.08,0.4,0.27,0.15,0.06,0.04,그룹(남성),"사랑,이별,추억,슬픔"
50,R U Ridin'?,백현 (BAEKHYUN),Delight - The 2nd Mini Album,R&B;/Soul,0.344,0.16,0.29,0.25,0.19,0.07,0.04,솔로(남성),"사랑,섹시,댄스,신남"
51,Inner Child,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.387,0.13,0.22,0.29,0.25,0.07,0.04,아이돌(남성),"사랑,댄스,여름,시원함"
52,Happy,태연 (TAEYEON),Happy,R&B;/Soul,0.448,0.09,0.41,0.26,0.15,0.06,0.03,솔로(여성),"사랑,행복,신남,기쁨"
53,욱 (UGH!),방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.381,0.13,0.22,0.29,0.24,0.07,0.05,아이돌(남성),"flex,스웩,댄스,신남"
54,Ghost,백현 (BAEKHYUN),Delight - The 2nd Mini Album,R&B;/Soul,0.345,0.16,0.29,0.25,0.19,0.07,0.04,솔로(남성),"사랑,방황,댄스,슬픔"
55,Louder than bombs,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.385,0.13,0.22,0.29,0.25,0.07,0.04,아이돌(남성),"스웩,방황,자아"
56,Maniac,Conan Gray,Maniac,POP,0.484,0.1,0.4,0.25,0.16,0.06,0.03,솔로(남성),"신남,이별,찌질함,방황"
57,Interlude : Shadow,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.386,0.13,0.22,0.29,0.25,0.07,0.04,아이돌(남성),"자아,스웩,flex,방황"
58,WANNABE,ITZY (있지),IT'z ME,댄스,0.466,0.11,0.39,0.25,0.16,0.06,0.03,아이돌(여성),"자아,스웩,flex,댄스"
59,취했나봐,황인욱,취했나봐,발라드,0.546,0.18,0.38,0.18,0.16,0.05,0.05,솔로(남성),"이별,우울,슬픔,힘듦"
60,Outro : Ego,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.381,0.13,0.22,0.29,0.25,0.07,0.04,아이돌(남성),"flex,스웩,댄스,신남"
61,Obsession,EXO,OBSESSION - The 6th Album,댄스,0.42,0.11,0.3,0.28,0.19,0.07,0.05,아이돌(남성),"슬픔,스웩,댄스,신남"
62,FIESTA,IZ*ONE (아이즈원),BLOOM*IZ,댄스,0.492,0.13,0.37,0.25,0.16,0.06,0.03,아이돌(여성),"댄스,신남,유쾌,시원함"
63,어느 60대 노부부이야기,임영웅,내일은 미스터트롯 트롯 에이드 베스트,성인가요,0.435,0.04,0.26,0.28,0.23,0.13,0.06,솔로(남성),"섭섭함,이별,추억,우울"
64,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,"R&B;/Soul, 인디음악",0.572,0.08,0.42,0.26,0.14,0.06,0.04,솔로(남성),"사랑,위로,슬픔,우울"
65,깡,비,MY LIFE愛,랩/힙합,0.487,0.08,0.38,0.29,0.15,0.05,0.05,솔로(남성),"댄스,스웩,flex,자아"
66,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해,발라드,0.495,0.08,0.38,0.28,0.17,0.06,0.03,그룹(혼성),"사랑,이별,아련함,슬픔"
67,반만,진민호,반만,발라드,0.579,0.1,0.43,0.22,0.15,0.06,0.04,솔로(남성),"이별,우울,슬픔,힘듦"
68,Respect,방탄소년단,MAP OF THE SOUL : 7,랩/힙합,0.38,0.13,0.22,0.29,0.25,0.07,0.04,아이돌(남성),"댄스,스웩,flex,자아"
69,일이 너무 잘 돼,헤이즈 (Heize),Lyricist,R&B;/Soul,0.422,0.09,0.49,0.23,0.1,0.05,0.04,솔로(여성),"이별,우울,섭섭함,사랑"
70,사랑은 지날수록 더욱 선명하게 남아,전상근,한 걸음 : 흔적,발라드,0.523,0.18,0.41,0.16,0.16,0.05,0.04,솔로(남성),"이별,추억,슬픔,우울"
71,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part.3,"발라드, 국내드라마",0.52,0.06,0.35,0.3,0.18,0.07,0.04,솔로(남성),"첫사랑,이별,슬픔,힘듦"
72,Stuck with U,Ariana Grande,Stuck with U,POP,0.44,0.11,0.38,0.24,0.17,0.06,0.04,솔로(여성),"사랑,행복"
73,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해,발라드,0.534,0.13,0.4,0.21,0.16,0.06,0.04,솔로(여성),"이별,우울,슬픔,힘듦"
74,우리 만남이,폴킴,"정규 2집 '마음, 둘'",R&B;/Soul,0.497,0.08,0.4,0.27,0.15,0.06,0.04,솔로(남성),"이별,우울,슬픔,추억"
75,바램,임영웅,내일은 미스터트롯 예선곡 베스트,성인가요,0.423,0.03,0.25,0.28,0.24,0.14,0.06,솔로(남성),"위로,힘듦,사랑,섭섭함"
76,봄날,방탄소년단,YOU NEVER WALK ALONE,랩/힙합,0.472,0.08,0.32,0.29,0.2,0.07,0.04,아이돌(남성),"사랑,이별,그리움,댄스"
77,"Yours (Feat. 이하이, 창모)",Raiden,"Yours (Feat. 이하이, 창모)",R&B;/Soul,0.422,0.11,0.34,0.26,0.18,0.06,0.05,솔로(남성),"사랑,설렘"
78,Lonely Night,권진아,슬기로운 의사생활 OST Part 1,"발라드, 국내드라마",0.456,0.07,0.32,0.32,0.2,0.06,0.03,솔로(여성),"사랑,이별,그리움"
79,"사랑, 하자",수호 (SUHO),자화상 - The 1st Mini Album,록/메탈,0.442,0.1,0.32,0.28,0.19,0.07,0.04,솔로(남성),"사랑,설렘,발랄,기쁨"
80,Love poem,아이유,Love poem,록/메탈,0.502,0.09,0.38,0.26,0.17,0.06,0.04,솔로(여성),"사랑,위로"
81,안녕,폴킴,호텔 델루나 OST Part.10,"발라드, 국내드라마",0.534,0.07,0.37,0.28,0.17,0.06,0.05,솔로(남성),"이별,우울,그리움"
82,HIP,마마무 (Mamamoo),reality in BLACK,댄스,0.493,0.06,0.4,0.29,0.15,0.06,0.04,아이돌(여성),"댄스,스웩,flex,자아"
83,찐이야,영탁,내일은 미스터트롯 결승전 베스트,성인가요,0.469,0.04,0.31,0.33,0.19,0.08,0.05,솔로(남성),"신남,사랑"
84,품,볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비,"인디음악, 포크/블루스",0.499,0.11,0.44,0.22,0.14,0.05,0.04,솔로(여성),"사랑,발랄,설렘"
85,밤이 깊었네 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 OST Part 10,"록/메탈, 국내드라마",0.434,0.08,0.34,0.29,0.2,0.06,0.03,밴드(혼성),"사랑,발랄,청춘"
86,Paris In The Rain,Lauv,I met you when I was 18. (the playlist),POP,0.495,0.09,0.38,0.26,0.16,0.06,0.05,남성(솔로),"사랑,설렘"
87,너를 그린 우주 (Insomnia2020) (Feat. 이라온),마크툽 (MAKTUB),Red Moon : SUPERNOVA,"R&B;/Soul, 인디음악",0.546,0.16,0.42,0.18,0.15,0.06,0.03,남성(솔로),"사랑,설렘,행복"
88,아 진짜요. (Oh really.),엔플라잉 (N.Flying),"So, 通 (소통)",록/메탈,0.374,0.2,0.44,0.14,0.13,0.05,0.04,아이돌(남성),"사랑,시원함,신남"
89,보라빛 엽서,임영웅,내일은 미스터트롯 레전드 미션 베스트,성인가요,0.412,0.03,0.23,0.27,0.24,0.16,0.07,솔로(남성),"사랑, 이별,아련함,힘듦"
90,"세계가 불타버린 밤, 우린... (Can't You See Me?)",투모로우바이투게더,꿈의 장: ETERNITY,댄스,0.379,0.19,0.26,0.24,0.21,0.06,0.04,아이돌(남성),"사랑, 섭섭함, 슬픔, 이별"
91,나보다 더 사랑해요,김호중,나보다 더 사랑해요,성인가요,0.434,0.04,0.26,0.27,0.21,0.13,0.09,솔로(남성),"사랑, 위로, 아련함, 행복"
92,니가 왜 거기서 나와 (Narr. 고은아),영탁,니가 왜 거기서 나와,성인가요,0.477,0.04,0.34,0.32,0.18,0.08,0.04,솔로(남성),"사랑,슬픔,섭섭함, 찌질함"
93,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",POP,0.515,0.06,0.39,0.3,0.15,0.06,0.04,솔로(여성),"섹시,방황,우울,자아"
94,영웅 (英雄; Kick It),NCT 127,NCT #127 Neo Zone - The 2nd Album,랩/힙합,0.366,0.17,0.34,0.21,0.17,0.06,0.05,아이돌(남성),"자아, 신남, 시원함, 댄스"
95,To Die For,Sam Smith,To Die For,POP,0.499,0.11,0.4,0.24,0.15,0.06,0.04,솔로(남성),"사랑, 이별 우울, 힘듦"
96,Stay Tonight,청하,Stay Tonight,댄스,0.478,0.09,0.42,0.26,0.14,0.05,0.04,솔로(여성),"사랑,신남,댄스,섹시"
97,자나깨나 (Feat. 조이 of Red Velvet),Crush,homemade 1,R&B;/Soul,0.441,0.09,0.46,0.23,0.13,0.06,0.03,솔로(남성),"자아,슬픔,우울,힘듦 "
98,너의 이름은 (Feat. ASH ISLAND),헤이즈 (Heize),Lyricist,R&B;/Soul,0.454,0.12,0.52,0.18,0.1,0.05,0.03,솔로(여성),"사랑, 이별, 슬픔, 그리움"
99,아로하,임영웅,사랑의 콜센타 PART8,성인가요,0.366,0.05,0.23,0.25,0.25,0.15,0.07,솔로(남성),"사랑, 행복,위로, 슬픔"
100,안녕과 안녕으로,이예준,안녕과 안녕으로,발라드,0.524,0.19,0.42,0.16,0.14,0.05,0.04,솔로(여성),"사랑, 이별, 슬픔, 그리움"
